name,label,type,units,id,outcome,hazard,ind,hh,firm,area,interact,fe
educat7_hh,"Highest level of education (any member, ≥ 15 years, 7 categories)",factor,NA,0,0,0,0,1,0,0,1,0
educat5_hh,"Highest level of education (any member, ≥ 15 years, 5 categories)",factor,NA,0,0,0,0,1,0,0,1,0
educat4_hh,"Highest level of education (any member, ≥ 15 years, 4 categories)",factor,NA,0,0,0,0,1,0,0,1,0
educy_hh,Mean years of education (≥ 15 years),numeric,years,0,0,0,0,1,0,0,0,0
lstatus,Labor status,factor,NA,0,0,0,1,0,0,0,1,0
empstat,Employment status,factor,NA,0,0,0,1,0,0,0,1,0
ocusec,Sector of activity,factor,NA,0,0,0,1,0,0,0,1,0
industrycat10,Industry (1 digit classification),factor,NA,0,0,0,1,0,0,0,1,0
industrycat4,Industry (4 categories),factor,NA,0,0,0,1,0,0,0,1,0
industry_orig,Industry (original classification),factor,NA,0,0,0,1,0,0,0,1,0
occup,Occupation (1 digit classification),factor,NA,0,0,0,1,0,0,0,1,0
occup_orig,Occupation (original classification),factor,NA,0,0,0,1,0,0,0,1,0
njobs,Number of jobs,integer,NA,0,0,0,1,0,0,0,0,0
healthins,Health insurance,logical,NA,0,0,0,0,1,0,0,1,0
socialsec,Social security,logical,NA,0,0,0,0,1,0,0,1,0
urban,Urban,logical,NA,0,0,0,0,0,0,1,1,0
hhsize,Household size,integer,NA,0,0,0,0,1,0,0,0,0
depend,Dependency ratio,numeric,NA,0,0,0,0,1,0,0,0,0
imp_wat_rec,Improved water source,logical,NA,0,0,0,0,1,0,0,1,0
piped,Access to piped water,logical,NA,0,0,0,0,1,0,0,0,0
piped_to_prem,Access to piped water on premises,logical,NA,0,0,0,0,1,0,0,1,0
imp_san_rec,Improved sanitation facility,logical,NA,0,0,0,0,1,0,0,1,0
solidcookfuel,Household uses solid cooking fuel,logical,NA,0,0,0,0,1,0,0,1,0
electricity,Access to electricity in dwelling,logical,NA,0,0,0,0,1,0,0,1,0
elechr_acc,Electricity availability,numeric,hr/day,0,0,0,0,1,0,0,0,0
cellphone,Ownership of a cell phone,logical,NA,0,0,0,0,1,0,0,1,0
