economy,code,year,survname,level,obs,source
"Iran, Islamic Rep.",IRN,2016,HEIS,ind,135552,GMD
"Iran, Islamic Rep.",IRN,2017,HEIS,hh,37962,GMD
"Iran, Islamic Rep.",IRN,2017,HEIS,ind,134389,GMD
"Iran, Islamic Rep.",IRN,2018,HEIS,hh,38959,GMD
"Iran, Islamic Rep.",IRN,2018,HEIS,ind,135829,GMD
"Iran, Islamic Rep.",IRN,2019,HEIS,hh,38327,GMD
"Iran, Islamic Rep.",IRN,2019,HEIS,ind,132540,GMD
"Iran, Islamic Rep.",IRN,2020,HEIS,hh,37557,GMD
"Iran, Islamic Rep.",IRN,2020,HEIS,ind,128955,GMD
Lao PDR,LAO,2024,LECS,hh,11182,GMD
Lao PDR,LAO,2024,LECS,ind,51026,GMD
Sri Lanka,LKA,2012,HIES,hh,20540,GMD
Sri Lanka,LKA,2012,HIES,ind,80534,GMD
Sri Lanka,LKA,2016,HIES,hh,21756,GMD
Sri Lanka,LKA,2016,HIES,ind,82961,GMD
Mali,MLI,2018,EHCVM,hh,6602,GMD
Mali,MLI,2018,EHCVM,ind,46014,GMD
Mali,MLI,2021,EHCVM,hh,6143,GMD
Mali,MLI,2021,EHCVM,ind,43472,GMD
Myanmar,MMR,2017,MLCS,hh,13730,GMD
Myanmar,MMR,2017,MLCS,ind,60357,GMD
Mongolia,MNG,2022,HSES,hh,22995,GMD
Mongolia,MNG,2022,HSES,ind,78299,GMD
Mauritania,MRT,2014,EPCV,hh,9341,GMD
Mauritania,MRT,2014,EPCV,ind,53715,GMD
Mauritania,MRT,2019,EPCV,hh,9910,GMD
Mauritania,MRT,2019,EPCV,ind,60594,GMD
Malawi,MWI,2010,IHS-III,hh,11975,GMD
Malawi,MWI,2010,IHS-III,ind,54664,GMD
Malawi,MWI,2016,IHS-IV,hh,12447,GMD
Malawi,MWI,2016,IHS-IV,ind,53885,GMD
Malawi,MWI,2019,IHS-V,hh,11434,GMD
Malawi,MWI,2019,IHS-V,ind,50476,GMD
Niger,NER,2011,ECVMA,hh,3859,GMD
Niger,NER,2011,ECVMA,ind,24791,GMD
Niger,NER,2014,ECVMA,hh,3616,GMD
Niger,NER,2014,ECVMA,ind,22670,GMD
Niger,NER,2018,EHCVM,hh,6024,GMD
Niger,NER,2018,EHCVM,ind,35405,GMD
Niger,NER,2021,EHCVM,hh,6622,GMD
Niger,NER,2021,EHCVM,ind,44080,GMD
Nigeria,NGA,2018,LSS,hh,21580,GMD
Nigeria,NGA,2018,LSS,ind,112564,GMD
Nepal,NPL,2010,LSS-III,hh,5988,GMD
Nepal,NPL,2010,LSS-III,ind,28474,GMD
Peru,PER,2022,ENAHO,hh,34189,GMD
Peru,PER,2022,ENAHO,ind,114550,GMD
Senegal,SEN,2018,EHCVM,hh,7156,GMD
Senegal,SEN,2018,EHCVM,ind,66119,GMD
Senegal,SEN,2021,EHCVM,hh,7120,GMD
Senegal,SEN,2021,EHCVM,ind,63530,GMD
Chad,TCD,2018,EHCVM,hh,7493,GMD
Chad,TCD,2018,EHCVM,ind,41096,GMD
Chad,TCD,2022,EHCVM,hh,7532,GMD
Chad,TCD,2022,EHCVM,ind,45060,GMD
Togo,TGO,2018,EHCVM,hh,6171,GMD
Togo,TGO,2018,EHCVM,ind,27480,GMD
Togo,TGO,2021,EHCVM,hh,6462,GMD
Togo,TGO,2021,EHCVM,ind,28815,GMD
Tajikistan,TJK,2023,HBS,hh,11682,GMD
Tajikistan,TJK,2023,HBS,ind,67005,GMD
Tajikistan,TJK,2024,HBS,hh,11489,GMD
Tajikistan,TJK,2024,HBS,ind,63496,GMD
Timor-Leste,TLS,2014,TLSLS,hh,5916,GMD
Timor-Leste,TLS,2014,TLSLS,ind,32079,GMD
Viet Nam,VNM,2010,VHLSS,hh,9399,GMD
Viet Nam,VNM,2010,VHLSS,ind,36999,GMD
Viet Nam,VNM,2012,VHLSS,hh,9396,GMD
Viet Nam,VNM,2012,VHLSS,ind,36644,GMD
Viet Nam,VNM,2014,VHLSS,hh,9399,GMD
Viet Nam,VNM,2014,VHLSS,ind,36081,GMD
Viet Nam,VNM,2016,VHLSS,hh,9399,GMD
Viet Nam,VNM,2016,VHLSS,ind,35788,GMD
Viet Nam,VNM,2018,VHLSS,hh,9396,GMD
Viet Nam,VNM,2018,VHLSS,ind,35076,GMD
Viet Nam,VNM,2020,VHLSS,hh,9396,GMD
Viet Nam,VNM,2020,VHLSS,ind,34717,GMD
Viet Nam,VNM,2022,VHLSS,hh,9398,GMD
Viet Nam,VNM,2022,VHLSS,ind,34498,GMD
Zambia,ZMB,2015,LCMS-VII,hh,12145,GMD
Zambia,ZMB,2015,LCMS-VII,ind,62402,GMD
Zambia,ZMB,2022,LCMS-VIII,hh,165720,GMD
Zambia,ZMB,2022,LCMS-VIII,ind,853120,GMD
